spr_animUpdateTimeScale	SpriteAnimUpdateTimescale
spr_playerSpriteSets	PlayerSpriteSets
unused_main_menu_window_darkening main_menu_window_update
snd_stop_tracking_env_sound_pos sfx_stop_tracking_env_sound_pos
bgm_update_music_settings bgm_update_music_control
func_8014A964 bgm_fade_in_song
bgm_set_variation bgm_set_linked_mode
func_8014AD40 bgm_is_any_song_playing
func_8014AFA0 bgm_NOOP
gMusicSettings gMusicControlData
SetMusicTrack SetMusic
SetMusicTrackVolumes SetTrackVolumes
